Metric,Treatment,Farm,Temperature,Day,K
Lipids,weekly flushing,B,10,30,0.00495911121188419
Lipids,weekly flushing,B,10,90,-0.000218766935028529
Hemicellulose,weekly flushing,B,10,30,0.00599598672354903
Hemicellulose,weekly flushing,B,10,90,0.0050156197199553
Cellulose,weekly flushing,B,10,30,0.0105240890873695
Cellulose,weekly flushing,B,10,90,0.00715275390692751
TS,weekly flushing,B,10,14,0.000174915408018203
TS,weekly flushing,B,10,30,0.00383659867418059
TS,weekly flushing,B,10,90,0.0010853777982775
CP,weekly flushing,B,10,14,0.0484368698713587
CP,weekly flushing,B,10,30,0.0244443507264096
CP,weekly flushing,B,10,90,0.00255365680392512
NDF,weekly flushing,B,10,30,0.00311728558295589
NDF,weekly flushing,B,10,90,0.00394395409304108
VS,weekly flushing,B,10,14,-0.00688108449060202
VS,weekly flushing,B,10,30,0.00246841476210499
VS,weekly flushing,B,10,90,0.00132493006425709
Lipids,weekly flushing,B,10,30,-0.00361013154138644
Lipids,weekly flushing,B,10,90,-0.0030891417200923
Hemicellulose,weekly flushing,B,10,30,0.00276646037809216
Hemicellulose,weekly flushing,B,10,90,0.00374250935202873
Cellulose,weekly flushing,B,10,30,0.00519356945091793
Cellulose,weekly flushing,B,10,90,0.00758300896419344
TS,weekly flushing,B,10,14,-0.0059996382377087
TS,weekly flushing,B,10,30,0.000757864347275458
TS,weekly flushing,B,10,90,0.000391134360753548
CP,control,B,17.5,14,0.0470401528783373
CP,control,B,17.5,30,0.0189894960886835
CP,control,B,17.5,90,0.00616739911113816
NDF,control,B,17.5,30,0.0131861926100466
NDF,control,B,17.5,90,0.00379278307427149
VS,control,B,17.5,14,0.00275079683484436
VS,control,B,17.5,30,0.00544866567330303
VS,control,B,17.5,90,0.00327432869952966
Lipids,control,B,17.5,30,-0.00269064646876861
Lipids,control,B,17.5,90,0.000237789563940598
Hemicellulose,control,B,17.5,30,0.014091974992512
Hemicellulose,control,B,17.5,90,0.00418182863716682
Cellulose,control,B,17.5,30,0.0147507499679648
Cellulose,control,B,17.5,90,0.0057189516944365
TS,control,B,17.5,14,-0.000256834375323972
TS,control,B,17.5,30,0.00290486551892819
TS,control,B,17.5,90,0.00165701213911788
CP,control,B,17.5,14,0.0421626293565315
CP,control,B,17.5,30,0.0263047982544809
CP,control,B,17.5,90,0.00372367303031357
NDF,control,B,17.5,30,0.00802453649749215
NDF,control,B,17.5,90,0.00252757436490516
VS,control,B,17.5,14,-0.00274258734682587
VS,control,B,17.5,30,0.00565003559487787
VS,control,B,17.5,90,0.00297672268398225
Lipids,control,B,17.5,30,0.0018588627402289
Lipids,control,B,17.5,90,0.001117247949249
Hemicellulose,control,B,17.5,30,0.00820345295488378
Hemicellulose,control,B,17.5,90,0.0031406822795826
Cellulose,control,B,17.5,30,0.0115180389659202
Cellulose,control,B,17.5,90,0.00375893734314915
TS,control,B,17.5,14,-0.00394850724478546
TS,control,B,17.5,30,0.00304246769641355
TS,control,B,17.5,90,0.00148820733193334
CP,weekly flushing,B,17.5,14,0.0555990741493712
CP,weekly flushing,B,17.5,30,0.040025835266809
CP,weekly flushing,B,17.5,90,0.00983767155193694
NDF,weekly flushing,B,17.5,30,0.0105038244738826
NDF,weekly flushing,B,17.5,90,0.00841933712820913
VS,weekly flushing,B,17.5,14,0.0028488140247671
VS,weekly flushing,B,17.5,30,0.00964937373243637
VS,weekly flushing,B,17.5,90,0.00387131435605213
Lipids,weekly flushing,B,17.5,30,0.00744281279642115
Lipids,weekly flushing,B,17.5,90,0.000828638468295451
Hemicellulose,weekly flushing,B,17.5,30,0.00895157826739815
Hemicellulose,weekly flushing,B,17.5,90,0.00856601525757931
Cellulose,weekly flushing,B,17.5,30,0.0174994163869251
Cellulose,weekly flushing,B,17.5,90,0.0109501097210679
TS,weekly flushing,B,17.5,14,0.000412499060085097
TS,weekly flushing,B,17.5,30,0.00551467180344562
TS,weekly flushing,B,17.5,90,0.00226106600150761
CP,weekly flushing,B,17.5,14,0.0190308575619145
